"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL026C-A",5.97977917323362,0.256366859901087,0.756849701513467,0.338728890806765,0.734813974244443,0.829907547381959
"YAL026C",347.778774559172,0.302167218962607,0.236299176458898,1.27874850640948,0.200985632381847,0.448712109503658
"HRA1",1.30380758300846,-0.133349779189509,1.29229445672942,-0.103188385971255,0.917813457357733,0.927474651645709
"YAL025C",504.432800291585,0.456519986873231,0.388038517953794,1.17648111141274,0.239402676038123,0.489318816914934
"YAL024C",167.295827506868,0.178587115630704,0.211400872323059,0.844779464096963,0.398233982479533,0.614480330773171
"YAL023C",1423.06258874564,0.7001211361826,0.487107362118088,1.43730354051367,0.150631763288814,0.448712109503658
"YAL022C",219.619519823898,0.254887342877457,0.263678738418387,0.966658686272306,0.333714686489288,0.562045787771433
"YAL021C",377.818669558044,0.0912531950980929,0.199520420378973,0.457362684605238,0.647410380816987,0.767301192079392
"YAL020C",55.3291533484474,0.287309145531692,0.28802026431148,0.997531011293639,0.318506828864236,0.546011706624404
"YAL019W",430.185085804593,0.310361842291068,0.392291693061177,0.791150686544536,0.428856064185442,0.614480330773171
"YAL018C",9.14630583119758,-2.0248344283616,0.910772815741155,-2.2232047261027,0.0262019983028789,0.193491679775106
"YAL017W",421.845331086948,-0.605392665624218,0.280787320883988,-2.15605413990309,0.031079437896861,0.213116145578475
"YAL016C-B",4.35537502755049,-0.967563689796494,0.911457969743461,-1.06155601455635,0.28843729096376,0.522452451557
"YAL016W",604.933014562189,-0.553901578240272,0.225042889836418,-2.46131561251679,0.0138428531994364,0.13289139071459
"YAL015C",166.321315101575,-0.182844542598436,0.206277281931989,-0.886401744709442,0.375401079387866,0.600641727020585
"YAL014C",168.53742563895,0.196461407018797,0.182278235747757,1.07781055819888,0.281118306771053,0.522452451557
"YAL013W",264.302639686695,-0.0360284570403827,0.143051636620553,-0.251856307914524,0.80115213233866,0.869683419772887
"YAL012W",1403.57263886739,0.648151167048875,0.488918017131445,1.32568476582572,0.184944135570995,0.448712109503658
"YAL011W",169.306860112247,-0.0647871690194021,0.187827031136576,-0.344929952985802,0.730147031717598,0.829907547381959
"YAL010C",118.311989896475,-0.355369605990453,0.234865425642663,-1.51307756353688,0.130259957983844,0.431205378153414
"YAL009W",153.051854635362,0.0451260195066248,0.193211265147797,0.233557911191699,0.815328206037082,0.869683419772887
"YAL008W",183.257167390271,-1.11005219723447,0.554111484969631,-2.00330119000386,0.0451449698486476,0.254936300321775
"YAL007C",426.016574958232,0.812602362347617,0.421546921948947,1.92766764513591,0.053896478982581,0.282283388606574
"YAL005C",3166.828019623,-1.98767611557186,0.646140251790947,-3.07623013743919,0.00209635971862139,0.0287500761410934
"YAL003W",3088.52093098576,0.366797158162022,0.359050606874614,1.02157509593101,0.30698204966052,0.535823213952908
"snR18",49.5871132928267,0.245350796877576,0.33102302951588,0.741189509492438,0.458578543204467,0.628907716394698
"YAL002W",240.529323752652,-0.119005849618157,0.170635281701913,-0.697428154548082,0.485534887016177,0.656497875402155
"YAL001C",413.489098812288,-0.107075394757122,0.138006845771023,-0.775870169040583,0.437825647725315,0.61810679678868
"YAR002W",331.49028735262,0.343700032050269,0.306839549766202,1.12012950192422,0.26265858035855,0.514596402335118
